blast_qseq_jg3	blast_sseq_jg3	max_pct_longCov	max_pct_shortCov	blast_pident	blast_evalue	blast_qstart	blast_qend	blast_sstart	blast_send	blast_slen
AN0009	AN1100	99.19	99.56	82.41	.0	9	1359	6	1355	1356
AN0012	AN7849	64.03	90.50	84.57	9e-104	67	228	11	172	179
AN0015	AN11934	93.52	94.17	55.79	.0	80	1451	53	1456	1467
AN0015	AN6443	87.44	89.53	28.66	9e-145	181	1454	66	1415	1423
AN0015	AN7839	94.18	97.74	35.65	.0	21	1444	23	1506	1512
AN0015	AN7879	91.80	97.53	39.02	.0	1	1452	7	1427	1548
AN0015	AN8150	43.86	53.40	36.70	3e-146	621	1444	983	1760	1774
AN0016	AN10576	23.77	82.76	29.71	.0	3561	5030	219	1629	1705
AN0016	AN1242	58.54	61.17	33.22	1e-125	2259	3122	49	872	6203
AN0016	AN2545	30.75	35.85	35.40	3e-109	218	865	5780	6427	6920
AN0016	AN3495	16.12	63.80	33.07	2e-161	3123	4085	22	978	1500
AN0016	AN3496	32.95	84.06	36.24	3e-115	219	879	1664	2314	2327
AN0016	AN6236	12.94	36.80	33.19	1e-101	3501	4177	145	805	2087
AN0016	AN7884	37.59	44.42	29.58	1e-105	1319	2180	4388	5241	7016
AN0016	AN9244	18.36	48.60	33.63	8e-114	12	772	1460	2225	2243
AN0025	AN2558	88.22	89.24	35.39	8e-102	63	601	58	598	611
AN0025	AN5400	89.24	94.73	40.82	3e-134	58	596	29	568	569
AN0025	AN7063	86.42	94.57	40.86	3e-127	71	595	29	550	552
AN0030	AN1184	95.74	95.96	48.84	1e-137	7	433	10	436	446
AN0054	AN2674	89.08	94.05	37.04	9e-104	25	552	14	535	555
AN0133	AN1363	83.90	96.27	43.90	4e-169	91	736	14	669	671
AN0133	AN4032	68.43	82.21	46.56	.0	87	736	176	808	925
AN0133	AN4721	50.64	81.69	51.30	.0	90	737	568	1196	1242
AN0133	AN5827	57.22	83.90	49.63	.0	91	742	473	1118	1129
AN0133	AN6085	76.97	82.47	36.19	8e-133	92	726	140	817	825
AN0146	AN7806	96.24	96.60	67.19	9e-123	9	264	7	262	265
AN0150	AN6000	98.62	99.39	48.46	.0	19	1804	10	1791	1793
AN0150	AN7071	94.90	98.89	42.33	.0	15	1801	24	1880	1883
AN0150	AN7825	79.43	97.23	35.73	.0	45	1801	31	1787	2212
AN0150	AN7903	61.40	88.54	25.06	2e-123	133	1790	125	1724	2606
AN0150	AN7909	74.76	87.05	32.63	.0	173	1801	140	1712	2104
AN0150	AN8209	79.01	94.36	40.24	.0	30	1803	16	1720	2158
AN0150	AN8383	35.75	49.20	30.40	2e-107	419	1307	382	1272	2487
AN0164	AN6391	76.67	89.72	59.45	2e-113	2	255	61	313	330
AN0171	AN7523	92.13	99.70	61.84	4e-135	1	354	1	328	329
AN0179	AN0618	84.08	98.14	72.08	2e-136	48	311	4	267	269
AN0195	AN8020	87.76	92.47	49.12	2e-147	11	440	4	451	465
AN0209	AN1181	97.08	98.31	43.72	2e-130	6	470	8	477	479
AN0209	AN7463	74.31	85.62	47.33	1e-122	34	441	53	457	545
AN0216	AN10399	70.28	88.46	69.14	2e-127	3	258	4	256	286
AN0218	AN4904	76.05	85.38	46.44	1e-166	39	583	103	610	668
AN0225	AN6443	79.50	93.18	31.96	.0	232	1645	84	1409	1423
AN0225	AN6779	67.39	74.19	33.80	.0	454	1646	377	1500	1515
AN0225	AN7729	78.12	84.83	33.03	.0	243	1649	225	1527	1536
AN0225	AN8957	82.73	87.95	32.59	.0	219	1650	178	1557	1569
AN0229	AN8069	90.98	91.82	45.62	.0	34	876	72	868	868
AN0250	AN2585	84.98	96.20	37.63	1e-108	46	534	5	485	500
AN0250	AN3233	97.00	97.51	41.67	4e-153	11	561	4	552	563
AN0250	AN7938	93.64	94.31	42.78	9e-154	13	542	4	538	562
AN0250	AN8400	95.41	96.09	42.18	6e-152	20	559	5	559	562
AN0263	AN0683	96.95	100.00	80.20	.0	1	382	1	394	394
AN0263	AN3048	97.70	100.00	90.77	.0	1	382	2	391	391
AN0263	AN4335	92.70	99.74	79.17	.0	1	381	1	393	411
AN0263	AN8186	51.10	54.71	85.59	2e-136	1	209	1	236	409
AN0263	AN9381	96.95	100.00	80.20	.0	1	382	1	394	394
AN0272	AN3575	97.86	100.00	56.95	4e-152	1	365	1	373	373
AN0280	AN7120	98.95	99.85	62.84	.0	1	661	1	666	668
AN0314	AN4550	47.02	80.94	44.59	1e-117	149	598	95	551	556
AN0316	AN10627	86.44	99.74	58.73	8e-171	16	406	1	389	390
AN0316	AN1182	95.56	95.98	39.14	5e-108	1	440	1	430	448
AN0316	AN6838	94.22	94.22	39.40	9e-112	1	434	1	424	450
AN0316	AN7570	99.12	99.56	72.44	.0	3	450	4	452	452
AN0318	AN4859	86.18	91.63	48.04	.0	64	917	85	981	991
AN0318	AN8219	77.59	90.67	48.41	.0	69	913	185	1075	1089
AN0321	AN9120	90.42	92.41	32.94	.0	81	1213	6	1242	1253
AN0327	AN1971	92.11	94.12	39.82	7e-108	18	449	14	457	459
AN0332	AN0489	89.12	92.11	62.60	.0	52	518	24	503	507
AN0332	AN6063	86.64	94.58	67.03	.0	64	518	26	479	480
AN0333	AN11212	85.03	97.66	41.54	5e-141	14	598	92	686	688
AN0351	AN6792	82.51	98.28	53.88	7e-158	77	485	5	405	408
AN0354	AN5701	93.60	96.69	63.84	1e-164	14	367	2	352	363
AN0368	AN0621	18.29	37.04	97.93	8e-117	585	777	1	193	521
AN0368	AN2661	67.97	99.15	84.95	.0	10	1055	468	1539	1539
AN0368	AN2711	27.96	44.23	57.72	6e-105	411	777	1	295	667
AN0368	AN2796	34.79	53.42	75.63	6e-139	777	1055	461	687	687
AN0368	AN3980	25.50	78.43	85.30	7e-167	777	1055	75	343	343
AN0368	AN7094	31.75	100.00	76.18	.0	700	1055	1	335	335
AN0368	AN8648	48.74	73.08	98.92	.0	777	1055	1304	1582	1582
AN0369	AN4404	81.05	82.85	64.12	3e-172	84	459	78	449	449
AN0374	AN3160	96.13	96.95	38.15	4e-136	22	595	19	590	590
AN0374	AN3763	97.19	98.82	38.94	2e-127	8	595	10	605	605
AN0374	AN6238	90.76	93.43	41.88	2e-147	55	595	39	578	578
AN0374	AN8365	99.33	100.00	38.29	8e-140	1	595	3	599	599
AN0374	AN8540	97.19	98.82	39.12	3e-143	8	595	14	605	605
AN0376	AN10256	63.33	66.46	91.27	7e-151	1103	1377	1038	1312	1312
AN0376	AN10632	15.76	60.78	98.62	4e-141	1161	1377	141	357	357
AN0376	AN10649	64.36	73.06	84.98	7e-132	1103	1353	1190	1462	1563
AN0376	AN10846	60.42	63.61	92.00	7e-159	1103	1377	1046	1308	1308
AN0376	AN2670	46.24	51.42	90.22	4e-103	100	307	1	225	1531
AN0376	AN2713	19.90	79.19	91.55	.0	1104	1377	51	346	346
AN0376	AN2714	67.18	97.88	90.79	.0	100	1024	1	943	945
AN0376	AN3471	19.90	79.19	91.22	.0	1104	1377	51	346	346
AN0376	AN3500	39.58	97.15	66.39	.0	100	660	1	545	561
AN0376	AN5254	37.91	51.63	45.71	5e-137	382	903	472	1009	1011
AN0376	AN5470	40.74	92.12	95.09	.0	474	1034	1	570	609
AN0376	AN6966	19.97	77.03	84.85	1e-160	1103	1377	61	357	357
AN0376	AN6968	45.68	87.00	82.51	.0	63	691	25	722	723
AN0376	AN7830	21.79	79.37	84.26	5e-174	100	399	1	343	378
AN0376	AN7845	37.91	97.75	77.85	.0	474	1069	1	522	534
AN0376	AN8576	88.77	93.61	85.58	.0	51	1377	164	1452	1452
AN0377	AN0675	96.00	96.83	59.59	1e-152	8	346	10	345	350
AN0385	AN7876	84.05	95.13	54.60	1e-119	26	360	13	344	349
