blast_sseq_id;blast_qseq_id;blast_pident;blast_qseq_jg1;blast_sseq_jg1;qcov;scov
jgi|Aspnid1|8329|AN2547;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.50;Aspni7;Aspnid1;49.2697;37.0600
jgi|Aspvad1|359092|estExt_Genewise1.C_3_t30095;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.73;Aspni7;Aspvad1;45.1685;43.8985
jgi|Aspnov1|454988|estExt_Genemark1.C_100162;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.12;Aspni7;Aspnov1;45.8989;21.4159
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspfo1|48698|fgenesh1_kg.9_#_577_#_Locus2972v1rpkm62.90;33.09;Aspfo1;Aspni7;43.6800;45.1685
jgi|Aspoch1|484695|estExt_Genewise1Plus.C_7_t30276;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;30.91;Aspni7;Aspoch1;52.9775;24.2439
jgi|Neofi1|6032|7000001156990438;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;33.84;Aspni7;Neofi1;46.0112;34.3712
jgi|Asppip1|503670|MIX9900_14_10;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.80;Aspni7;Asppip1;53.5955;41.3339
jgi|Aspscle1|1697|CE1696_4833;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;32.04;Aspni7;Aspscle1;47.6966;22.7371
jgi|Aspste1|400784|estExt_Genewise1Plus.C_2_t100240;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;44.71;Aspni7;Aspste1;98.2022;98.9253
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Aspind1|456676|estExt_Genemark1.C_360031;46.89;Aspind1;Aspni7;99.5543;99.2697
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;Aacu16872_045669;47.35;Aspac1;Aspni7;99.5538;99.2697
jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;jgi|Asplac1|349992|e_gw1.42.7.1;98.71;Asplac1;Aspni7;99.4966;99.9438
NRRL3_06291;jgi|Aspni7|1123159|estExt_Genewise1Plus.C_chr_501_t10030;100.00;Aspni7;NRRL3;99.9438;98.0706
